condition,prompt_id,seed,latency_s,peak_vram_mb,clip_score,lpips,image_path
int8,p01_portrait,123,13.18,2210.3,0.314949,0.053604,reports/experiments/exp1_quantization_quality/images/int8/p01_portrait_seed123.png
int8,p01_portrait,456,13.524,2210.3,0.285343,0.194361,reports/experiments/exp1_quantization_quality/images/int8/p01_portrait_seed456.png
int8,p01_portrait,789,13.276,2210.3,0.334045,0.203548,reports/experiments/exp1_quantization_quality/images/int8/p01_portrait_seed789.png
int8,p01_portrait,1337,13.359,2210.3,0.340626,0.03758,reports/experiments/exp1_quantization_quality/images/int8/p01_portrait_seed1337.png
int8,p02_landscape,42,13.343,2210.3,0.328059,0.032848,reports/experiments/exp1_quantization_quality/images/int8/p02_landscape_seed42.png
int8,p02_landscape,123,12.502,2210.3,0.308442,0.066036,reports/experiments/exp1_quantization_quality/images/int8/p02_landscape_seed123.png
int8,p02_landscape,456,11.922,2210.3,0.319787,0.037934,reports/experiments/exp1_quantization_quality/images/int8/p02_landscape_seed456.png
int8,p02_landscape,789,9.114,2210.3,0.308029,0.055919,reports/experiments/exp1_quantization_quality/images/int8/p02_landscape_seed789.png
int8,p02_landscape,1337,9.297,2210.3,0.326513,0.067659,reports/experiments/exp1_quantization_quality/images/int8/p02_landscape_seed1337.png
int8,p03_abstract,42,9.364,2210.3,0.306837,0.097612,reports/experiments/exp1_quantization_quality/images/int8/p03_abstract_seed42.png
int8,p03_abstract,123,9.435,2210.3,0.300258,0.06569,reports/experiments/exp1_quantization_quality/images/int8/p03_abstract_seed123.png
int8,p03_abstract,456,9.286,2210.3,0.321203,0.338466,reports/experiments/exp1_quantization_quality/images/int8/p03_abstract_seed456.png
int8,p03_abstract,789,10.98,2210.3,0.33217,0.117862,reports/experiments/exp1_quantization_quality/images/int8/p03_abstract_seed789.png
int8,p03_abstract,1337,12.563,2210.3,0.308473,0.188769,reports/experiments/exp1_quantization_quality/images/int8/p03_abstract_seed1337.png
int8,p04_text,42,11.186,2210.3,0.297294,0.316205,reports/experiments/exp1_quantization_quality/images/int8/p04_text_seed42.png
int8,p04_text,123,10.191,2210.3,0.282156,0.213526,reports/experiments/exp1_quantization_quality/images/int8/p04_text_seed123.png
int8,p04_text,456,13.601,2210.3,0.290536,0.216269,reports/experiments/exp1_quantization_quality/images/int8/p04_text_seed456.png
int8,p04_text,789,13.436,2210.3,0.252476,0.224289,reports/experiments/exp1_quantization_quality/images/int8/p04_text_seed789.png
int8,p04_text,1337,13.469,2210.3,0.313428,0.216316,reports/experiments/exp1_quantization_quality/images/int8/p04_text_seed1337.png
int8,p05_texture,42,11.98,2210.3,0.328494,0.143269,reports/experiments/exp1_quantization_quality/images/int8/p05_texture_seed42.png
int8,p05_texture,123,13.523,2210.3,0.297941,0.179608,reports/experiments/exp1_quantization_quality/images/int8/p05_texture_seed123.png
int8,p05_texture,456,13.538,2210.3,0.290982,0.395988,reports/experiments/exp1_quantization_quality/images/int8/p05_texture_seed456.png
int8,p05_texture,789,13.15,2210.3,0.316913,0.365046,reports/experiments/exp1_quantization_quality/images/int8/p05_texture_seed789.png
int8,p05_texture,1337,13.69,2210.3,0.328879,0.344731,reports/experiments/exp1_quantization_quality/images/int8/p05_texture_seed1337.png
int8,p06_arch,42,13.593,2210.3,0.29184,0.235733,reports/experiments/exp1_quantization_quality/images/int8/p06_arch_seed42.png
int8,p06_arch,123,13.464,2210.3,0.316079,0.128518,reports/experiments/exp1_quantization_quality/images/int8/p06_arch_seed123.png
int8,p06_arch,456,13.667,2210.3,0.293737,0.288825,reports/experiments/exp1_quantization_quality/images/int8/p06_arch_seed456.png
int8,p06_arch,789,13.634,2210.3,0.327592,0.159117,reports/experiments/exp1_quantization_quality/images/int8/p06_arch_seed789.png
int8,p06_arch,1337,14.399,2210.3,0.324975,0.339994,reports/experiments/exp1_quantization_quality/images/int8/p06_arch_seed1337.png
int8,p07_hands,42,13.262,2210.3,0.285474,0.08069,reports/experiments/exp1_quantization_quality/images/int8/p07_hands_seed42.png
int8,p07_hands,123,13.544,2210.3,0.238527,0.248398,reports/experiments/exp1_quantization_quality/images/int8/p07_hands_seed123.png
int8,p07_hands,456,11.354,2210.3,0.303681,0.120839,reports/experiments/exp1_quantization_quality/images/int8/p07_hands_seed456.png
int8,p07_hands,789,12.704,2210.3,0.324776,0.094028,reports/experiments/exp1_quantization_quality/images/int8/p07_hands_seed789.png
