cfg_value,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
12,p01_portrait,789,16.444,0.380549,0.355225,1.473296,0.185744,0.118109,reports/experiments/exp3_sdxl/images/cfg_12/p01_portrait_seed789.png
12,p01_portrait,1337,16.32,0.373828,0.348877,1.455582,0.229587,0.088089,reports/experiments/exp3_sdxl/images/cfg_12/p01_portrait_seed1337.png
12,p02_landscape,42,16.134,0.334601,0.27417,1.16024,0.185811,0.08587,reports/experiments/exp3_sdxl/images/cfg_12/p02_landscape_seed42.png
12,p02_landscape,123,16.135,0.344308,0.305664,0.97114,0.258483,0.15732,reports/experiments/exp3_sdxl/images/cfg_12/p02_landscape_seed123.png
12,p02_landscape,456,16.459,0.330525,0.252686,0.977643,0.273958,0.139808,reports/experiments/exp3_sdxl/images/cfg_12/p02_landscape_seed456.png
12,p02_landscape,789,16.364,0.337947,0.270264,1.271698,0.265157,0.182542,reports/experiments/exp3_sdxl/images/cfg_12/p02_landscape_seed789.png
12,p02_landscape,1337,16.363,0.332848,0.26416,1.101766,0.230268,0.128233,reports/experiments/exp3_sdxl/images/cfg_12/p02_landscape_seed1337.png
12,p03_abstract,42,16.161,0.333309,0.230103,0.14083,0.419306,0.42487,reports/experiments/exp3_sdxl/images/cfg_12/p03_abstract_seed42.png
12,p03_abstract,123,16.473,0.312412,0.233154,-0.844011,0.330099,0.249808,reports/experiments/exp3_sdxl/images/cfg_12/p03_abstract_seed123.png
12,p03_abstract,456,16.567,0.322098,0.22168,0.130738,0.38653,0.326611,reports/experiments/exp3_sdxl/images/cfg_12/p03_abstract_seed456.png
12,p03_abstract,789,16.609,0.318137,0.229126,0.084256,0.480157,0.4627,reports/experiments/exp3_sdxl/images/cfg_12/p03_abstract_seed789.png
12,p03_abstract,1337,16.474,0.344963,0.258057,0.588831,0.476985,0.441682,reports/experiments/exp3_sdxl/images/cfg_12/p03_abstract_seed1337.png
12,p04_text,42,16.079,0.286207,0.298584,0.710826,0.329376,0.308182,reports/experiments/exp3_sdxl/images/cfg_12/p04_text_seed42.png
12,p04_text,123,16.15,0.30854,0.271973,0.521716,0.352383,0.293859,reports/experiments/exp3_sdxl/images/cfg_12/p04_text_seed123.png
12,p04_text,456,16.153,0.278735,0.294922,0.637311,0.543646,0.551607,reports/experiments/exp3_sdxl/images/cfg_12/p04_text_seed456.png
12,p04_text,789,16.343,0.298293,0.263672,0.394362,0.345367,0.316959,reports/experiments/exp3_sdxl/images/cfg_12/p04_text_seed789.png
12,p04_text,1337,16.438,0.287275,0.279785,0.978536,0.448647,0.403729,reports/experiments/exp3_sdxl/images/cfg_12/p04_text_seed1337.png
12,p05_texture,42,16.397,0.310705,0.252686,-0.566687,0.326931,0.294158,reports/experiments/exp3_sdxl/images/cfg_12/p05_texture_seed42.png
12,p05_texture,123,16.367,0.343426,0.234253,0.091835,0.345898,0.25938,reports/experiments/exp3_sdxl/images/cfg_12/p05_texture_seed123.png
12,p05_texture,456,16.374,0.29438,0.244141,-0.894766,0.259098,0.214054,reports/experiments/exp3_sdxl/images/cfg_12/p05_texture_seed456.png
12,p05_texture,789,16.139,0.287357,0.237915,-0.493382,0.403185,0.325146,reports/experiments/exp3_sdxl/images/cfg_12/p05_texture_seed789.png
12,p05_texture,1337,16.368,0.327729,0.25708,-0.085544,0.536273,0.5398,reports/experiments/exp3_sdxl/images/cfg_12/p05_texture_seed1337.png
12,p06_arch,42,16.476,0.315469,0.328613,0.26521,0.356788,0.28237,reports/experiments/exp3_sdxl/images/cfg_12/p06_arch_seed42.png
12,p06_arch,123,16.116,0.328333,0.314209,-0.075835,0.318931,0.291345,reports/experiments/exp3_sdxl/images/cfg_12/p06_arch_seed123.png
12,p06_arch,456,16.078,0.306685,0.330078,0.250556,0.562742,0.391147,reports/experiments/exp3_sdxl/images/cfg_12/p06_arch_seed456.png
12,p06_arch,789,16.411,0.317768,0.323975,0.087517,0.33663,0.309877,reports/experiments/exp3_sdxl/images/cfg_12/p06_arch_seed789.png
12,p06_arch,1337,16.402,0.325148,0.325928,-0.002536,0.306579,0.287607,reports/experiments/exp3_sdxl/images/cfg_12/p06_arch_seed1337.png
12,p07_hands,42,16.394,0.346346,0.29248,0.275066,0.362199,0.296507,reports/experiments/exp3_sdxl/images/cfg_12/p07_hands_seed42.png
12,p07_hands,123,16.519,0.316586,0.264648,-0.129169,0.436583,0.391682,reports/experiments/exp3_sdxl/images/cfg_12/p07_hands_seed123.png
12,p07_hands,456,16.457,0.313475,0.292236,0.716569,0.420775,0.395555,reports/experiments/exp3_sdxl/images/cfg_12/p07_hands_seed456.png
12,p07_hands,789,16.407,0.32799,0.290771,0.522898,0.362193,0.342827,reports/experiments/exp3_sdxl/images/cfg_12/p07_hands_seed789.png
12,p07_hands,1337,16.585,0.339289,0.253662,0.144618,0.180481,0.090947,reports/experiments/exp3_sdxl/images/cfg_12/p07_hands_seed1337.png
