strength,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.25,pp_002,456,5.041,0.324243,0.611656,0.629155,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_002_seed456.png
0.25,pp_002,789,5.035,0.341963,0.590913,0.525549,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_002_seed789.png
0.25,pp_002,1337,5.054,0.308428,0.612714,0.301756,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_002_seed1337.png
0.25,pp_003,42,5.079,0.287662,0.624842,0.675907,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_003_seed42.png
0.25,pp_003,123,5.039,0.267602,0.763718,0.453811,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_003_seed123.png
0.25,pp_003,456,5.078,0.252176,0.717318,0.360388,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_003_seed456.png
0.25,pp_003,789,5.097,0.277129,0.721728,0.451024,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_003_seed789.png
0.25,pp_003,1337,5.105,0.276024,0.651847,0.446322,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_003_seed1337.png
0.25,pp_004,42,5.045,0.364152,0.787761,0.438659,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_004_seed42.png
0.25,pp_004,123,5.092,0.356568,0.718711,0.328471,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_004_seed123.png
0.25,pp_004,456,5.094,0.416615,0.748315,0.401506,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_004_seed456.png
0.25,pp_004,789,5.133,0.346904,0.648208,0.866234,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_004_seed789.png
0.25,pp_004,1337,5.129,0.365147,0.746914,0.492573,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_004_seed1337.png
0.25,pp_005,42,5.194,0.378975,0.730649,0.455577,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_005_seed42.png
0.25,pp_005,123,5.155,0.352073,0.679524,0.720968,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_005_seed123.png
