cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
3,p01_portrait,456,5.134,0.312693,0.436474,0.739304,reports/experiments/exp3_cfg_sweep/images/cfg_3/p01_portrait_seed456.png
3,p01_portrait,789,5.003,0.315259,0.49739,0.71199,reports/experiments/exp3_cfg_sweep/images/cfg_3/p01_portrait_seed789.png
3,p01_portrait,1337,4.976,0.296714,0.396329,0.686627,reports/experiments/exp3_cfg_sweep/images/cfg_3/p01_portrait_seed1337.png
3,p02_landscape,42,5.237,0.313062,0.412274,0.726451,reports/experiments/exp3_cfg_sweep/images/cfg_3/p02_landscape_seed42.png
3,p02_landscape,123,5.562,0.307741,0.478786,0.514036,reports/experiments/exp3_cfg_sweep/images/cfg_3/p02_landscape_seed123.png
3,p02_landscape,456,5.071,0.311753,0.356035,0.69237,reports/experiments/exp3_cfg_sweep/images/cfg_3/p02_landscape_seed456.png
3,p02_landscape,789,5.28,0.297555,0.489696,0.589541,reports/experiments/exp3_cfg_sweep/images/cfg_3/p02_landscape_seed789.png
3,p02_landscape,1337,5.207,0.291845,0.289279,0.512693,reports/experiments/exp3_cfg_sweep/images/cfg_3/p02_landscape_seed1337.png
3,p03_abstract,42,5.225,0.317955,0.50968,0.391089,reports/experiments/exp3_cfg_sweep/images/cfg_3/p03_abstract_seed42.png
3,p03_abstract,123,5.249,0.281995,0.535527,0.518404,reports/experiments/exp3_cfg_sweep/images/cfg_3/p03_abstract_seed123.png
3,p03_abstract,456,4.076,0.338336,0.549941,0.535721,reports/experiments/exp3_cfg_sweep/images/cfg_3/p03_abstract_seed456.png
3,p03_abstract,789,3.899,0.30579,0.434561,0.617703,reports/experiments/exp3_cfg_sweep/images/cfg_3/p03_abstract_seed789.png
3,p03_abstract,1337,3.961,0.303997,0.545098,0.580073,reports/experiments/exp3_cfg_sweep/images/cfg_3/p03_abstract_seed1337.png
3,p04_text,42,4.903,0.205921,0.571003,0.566779,reports/experiments/exp3_cfg_sweep/images/cfg_3/p04_text_seed42.png
3,p04_text,123,4.83,0.284615,0.365818,0.508303,reports/experiments/exp3_cfg_sweep/images/cfg_3/p04_text_seed123.png
3,p04_text,456,4.893,0.251275,0.552168,0.489503,reports/experiments/exp3_cfg_sweep/images/cfg_3/p04_text_seed456.png
3,p04_text,789,5.436,0.268268,0.392119,0.478493,reports/experiments/exp3_cfg_sweep/images/cfg_3/p04_text_seed789.png
3,p04_text,1337,5.4,0.21885,0.683207,0.540141,reports/experiments/exp3_cfg_sweep/images/cfg_3/p04_text_seed1337.png
3,p05_texture,42,5.3,0.317599,0.316026,0.607875,reports/experiments/exp3_cfg_sweep/images/cfg_3/p05_texture_seed42.png
3,p05_texture,123,5.368,0.229984,0.367375,0.515113,reports/experiments/exp3_cfg_sweep/images/cfg_3/p05_texture_seed123.png
3,p05_texture,456,5.324,0.250515,0.352503,0.631262,reports/experiments/exp3_cfg_sweep/images/cfg_3/p05_texture_seed456.png
