cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
9,p08_crowd,456,5.363,0.352499,0.43494,0.43494,reports/experiments/exp3_cfg_sweep/images/cfg_9/p08_crowd_seed456.png
9,p08_crowd,789,5.582,0.342573,0.263032,0.263032,reports/experiments/exp3_cfg_sweep/images/cfg_9/p08_crowd_seed789.png
9,p08_crowd,1337,5.423,0.338491,0.430761,0.430761,reports/experiments/exp3_cfg_sweep/images/cfg_9/p08_crowd_seed1337.png
12,p01_portrait,42,5.364,0.358175,0.380305,0.40264,reports/experiments/exp3_cfg_sweep/images/cfg_12/p01_portrait_seed42.png
12,p01_portrait,123,4.987,0.324946,0.354787,0.295463,reports/experiments/exp3_cfg_sweep/images/cfg_12/p01_portrait_seed123.png
12,p01_portrait,456,5.086,0.330247,0.320476,0.264213,reports/experiments/exp3_cfg_sweep/images/cfg_12/p01_portrait_seed456.png
12,p01_portrait,789,5.514,0.359415,0.576002,0.611595,reports/experiments/exp3_cfg_sweep/images/cfg_12/p01_portrait_seed789.png
12,p01_portrait,1337,5.427,0.342975,0.262231,0.171285,reports/experiments/exp3_cfg_sweep/images/cfg_12/p01_portrait_seed1337.png
12,p02_landscape,42,5.053,0.315452,0.373272,0.330625,reports/experiments/exp3_cfg_sweep/images/cfg_12/p02_landscape_seed42.png
12,p02_landscape,123,5.326,0.312693,0.342053,0.229004,reports/experiments/exp3_cfg_sweep/images/cfg_12/p02_landscape_seed123.png
12,p02_landscape,456,5.405,0.31168,0.264562,0.191081,reports/experiments/exp3_cfg_sweep/images/cfg_12/p02_landscape_seed456.png
12,p02_landscape,789,5.465,0.309365,0.385736,0.340174,reports/experiments/exp3_cfg_sweep/images/cfg_12/p02_landscape_seed789.png
12,p02_landscape,1337,5.358,0.318,0.356221,0.284928,reports/experiments/exp3_cfg_sweep/images/cfg_12/p02_landscape_seed1337.png
12,p03_abstract,42,5.285,0.314243,0.331207,0.217725,reports/experiments/exp3_cfg_sweep/images/cfg_12/p03_abstract_seed42.png
12,p03_abstract,123,5.242,0.315762,0.382248,0.330976,reports/experiments/exp3_cfg_sweep/images/cfg_12/p03_abstract_seed123.png
12,p03_abstract,456,5.288,0.300964,0.491688,0.428271,reports/experiments/exp3_cfg_sweep/images/cfg_12/p03_abstract_seed456.png
12,p03_abstract,789,5.21,0.319375,0.391053,0.249323,reports/experiments/exp3_cfg_sweep/images/cfg_12/p03_abstract_seed789.png
12,p03_abstract,1337,5.22,0.311052,0.428981,0.258003,reports/experiments/exp3_cfg_sweep/images/cfg_12/p03_abstract_seed1337.png
12,p04_text,42,4.927,0.27342,0.550303,0.289487,reports/experiments/exp3_cfg_sweep/images/cfg_12/p04_text_seed42.png
12,p04_text,123,5.067,0.276363,0.298218,0.246946,reports/experiments/exp3_cfg_sweep/images/cfg_12/p04_text_seed123.png
12,p04_text,456,5.056,0.330199,0.541981,0.473252,reports/experiments/exp3_cfg_sweep/images/cfg_12/p04_text_seed456.png
12,p04_text,789,5.289,0.267264,0.313756,0.261766,reports/experiments/exp3_cfg_sweep/images/cfg_12/p04_text_seed789.png
12,p04_text,1337,5.671,0.312597,0.319385,0.404154,reports/experiments/exp3_cfg_sweep/images/cfg_12/p04_text_seed1337.png
12,p05_texture,42,5.216,0.341183,0.403996,0.367592,reports/experiments/exp3_cfg_sweep/images/cfg_12/p05_texture_seed42.png
12,p05_texture,123,5.452,0.310041,0.538432,0.591638,reports/experiments/exp3_cfg_sweep/images/cfg_12/p05_texture_seed123.png
12,p05_texture,456,4.971,0.29667,0.418485,0.145519,reports/experiments/exp3_cfg_sweep/images/cfg_12/p05_texture_seed456.png
12,p05_texture,789,5.255,0.321258,0.441144,0.422245,reports/experiments/exp3_cfg_sweep/images/cfg_12/p05_texture_seed789.png
12,p05_texture,1337,5.053,0.298895,0.328622,0.334614,reports/experiments/exp3_cfg_sweep/images/cfg_12/p05_texture_seed1337.png
12,p06_arch,42,5.021,0.294477,0.338399,0.305703,reports/experiments/exp3_cfg_sweep/images/cfg_12/p06_arch_seed42.png
12,p06_arch,123,4.882,0.315979,0.254131,0.261308,reports/experiments/exp3_cfg_sweep/images/cfg_12/p06_arch_seed123.png
12,p06_arch,456,4.974,0.294006,0.434504,0.429747,reports/experiments/exp3_cfg_sweep/images/cfg_12/p06_arch_seed456.png
12,p06_arch,789,5.127,0.312982,0.390484,0.258297,reports/experiments/exp3_cfg_sweep/images/cfg_12/p06_arch_seed789.png
12,p06_arch,1337,5.175,0.303826,0.416216,0.415263,reports/experiments/exp3_cfg_sweep/images/cfg_12/p06_arch_seed1337.png
12,p07_hands,42,4.909,0.278696,0.235919,0.173707,reports/experiments/exp3_cfg_sweep/images/cfg_12/p07_hands_seed42.png
12,p07_hands,123,5.171,0.25959,0.621699,0.575354,reports/experiments/exp3_cfg_sweep/images/cfg_12/p07_hands_seed123.png
12,p07_hands,456,5.147,0.304505,0.284307,0.288468,reports/experiments/exp3_cfg_sweep/images/cfg_12/p07_hands_seed456.png
12,p07_hands,789,5.036,0.307604,0.53023,0.512053,reports/experiments/exp3_cfg_sweep/images/cfg_12/p07_hands_seed789.png
12,p07_hands,1337,5.056,0.279774,0.27999,0.259104,reports/experiments/exp3_cfg_sweep/images/cfg_12/p07_hands_seed1337.png
12,p08_crowd,42,5.075,0.329566,0.403825,0.353862,reports/experiments/exp3_cfg_sweep/images/cfg_12/p08_crowd_seed42.png
12,p08_crowd,123,5.341,0.339747,0.365715,0.297494,reports/experiments/exp3_cfg_sweep/images/cfg_12/p08_crowd_seed123.png
12,p08_crowd,456,5.006,0.340543,0.479178,0.349415,reports/experiments/exp3_cfg_sweep/images/cfg_12/p08_crowd_seed456.png
12,p08_crowd,789,5.019,0.339777,0.315928,0.312996,reports/experiments/exp3_cfg_sweep/images/cfg_12/p08_crowd_seed789.png
12,p08_crowd,1337,5.098,0.350559,0.440411,0.379982,reports/experiments/exp3_cfg_sweep/images/cfg_12/p08_crowd_seed1337.png
15,p01_portrait,42,5.05,0.35454,0.468263,0.337727,reports/experiments/exp3_cfg_sweep/images/cfg_15/p01_portrait_seed42.png
15,p01_portrait,123,4.902,0.325406,0.410486,0.287946,reports/experiments/exp3_cfg_sweep/images/cfg_15/p01_portrait_seed123.png
15,p01_portrait,456,5.147,0.33093,0.374165,0.168579,reports/experiments/exp3_cfg_sweep/images/cfg_15/p01_portrait_seed456.png
15,p01_portrait,789,4.919,0.345669,0.678838,0.593231,reports/experiments/exp3_cfg_sweep/images/cfg_15/p01_portrait_seed789.png
15,p01_portrait,1337,5.162,0.35354,0.337538,0.130106,reports/experiments/exp3_cfg_sweep/images/cfg_15/p01_portrait_seed1337.png
15,p02_landscape,42,4.939,0.33445,0.486541,0.38157,reports/experiments/exp3_cfg_sweep/images/cfg_15/p02_landscape_seed42.png
15,p02_landscape,123,5.158,0.316378,0.410251,0.361187,reports/experiments/exp3_cfg_sweep/images/cfg_15/p02_landscape_seed123.png
15,p02_landscape,456,4.814,0.309989,0.268665,0.209572,reports/experiments/exp3_cfg_sweep/images/cfg_15/p02_landscape_seed456.png
15,p02_landscape,789,4.911,0.303504,0.433802,0.16725,reports/experiments/exp3_cfg_sweep/images/cfg_15/p02_landscape_seed789.png
15,p02_landscape,1337,4.905,0.304974,0.439536,0.310158,reports/experiments/exp3_cfg_sweep/images/cfg_15/p02_landscape_seed1337.png
15,p03_abstract,42,5.163,0.303905,0.379903,0.147626,reports/experiments/exp3_cfg_sweep/images/cfg_15/p03_abstract_seed42.png
15,p03_abstract,123,5.166,0.313047,0.309603,0.315183,reports/experiments/exp3_cfg_sweep/images/cfg_15/p03_abstract_seed123.png
15,p03_abstract,456,5.402,0.309779,0.518668,0.454152,reports/experiments/exp3_cfg_sweep/images/cfg_15/p03_abstract_seed456.png
15,p03_abstract,789,4.954,0.316185,0.417229,0.141969,reports/experiments/exp3_cfg_sweep/images/cfg_15/p03_abstract_seed789.png
15,p03_abstract,1337,4.812,0.304841,0.47715,0.3552,reports/experiments/exp3_cfg_sweep/images/cfg_15/p03_abstract_seed1337.png
15,p04_text,42,4.864,0.287354,0.58341,0.458647,reports/experiments/exp3_cfg_sweep/images/cfg_15/p04_text_seed42.png
15,p04_text,123,5.227,0.284124,0.320617,0.236371,reports/experiments/exp3_cfg_sweep/images/cfg_15/p04_text_seed123.png
15,p04_text,456,4.693,0.325209,0.461324,0.33097,reports/experiments/exp3_cfg_sweep/images/cfg_15/p04_text_seed456.png
15,p04_text,789,4.983,0.288696,0.503864,0.497106,reports/experiments/exp3_cfg_sweep/images/cfg_15/p04_text_seed789.png
15,p04_text,1337,4.818,0.311763,0.44691,0.389272,reports/experiments/exp3_cfg_sweep/images/cfg_15/p04_text_seed1337.png
15,p05_texture,42,4.836,0.329498,0.421454,0.276897,reports/experiments/exp3_cfg_sweep/images/cfg_15/p05_texture_seed42.png
15,p05_texture,123,5.039,0.255594,0.65336,0.669732,reports/experiments/exp3_cfg_sweep/images/cfg_15/p05_texture_seed123.png
15,p05_texture,456,4.882,0.286364,0.459192,0.279949,reports/experiments/exp3_cfg_sweep/images/cfg_15/p05_texture_seed456.png
15,p05_texture,789,4.756,0.261285,0.576223,0.533914,reports/experiments/exp3_cfg_sweep/images/cfg_15/p05_texture_seed789.png
15,p05_texture,1337,4.804,0.311774,0.441749,0.383967,reports/experiments/exp3_cfg_sweep/images/cfg_15/p05_texture_seed1337.png
15,p06_arch,42,4.988,0.276441,0.412079,0.412126,reports/experiments/exp3_cfg_sweep/images/cfg_15/p06_arch_seed42.png
15,p06_arch,123,5.022,0.298528,0.401469,0.382239,reports/experiments/exp3_cfg_sweep/images/cfg_15/p06_arch_seed123.png
15,p06_arch,456,4.905,0.281731,0.510158,0.529493,reports/experiments/exp3_cfg_sweep/images/cfg_15/p06_arch_seed456.png
15,p06_arch,789,4.993,0.312374,0.472691,0.460268,reports/experiments/exp3_cfg_sweep/images/cfg_15/p06_arch_seed789.png
15,p06_arch,1337,4.899,0.323985,0.404536,0.409531,reports/experiments/exp3_cfg_sweep/images/cfg_15/p06_arch_seed1337.png
15,p07_hands,42,5.217,0.252728,0.467893,0.486426,reports/experiments/exp3_cfg_sweep/images/cfg_15/p07_hands_seed42.png
15,p07_hands,123,5.02,0.293645,0.641327,0.381364,reports/experiments/exp3_cfg_sweep/images/cfg_15/p07_hands_seed123.png
15,p07_hands,456,4.936,0.288882,0.7003,0.685847,reports/experiments/exp3_cfg_sweep/images/cfg_15/p07_hands_seed456.png
15,p07_hands,789,4.932,0.293483,0.561364,0.392774,reports/experiments/exp3_cfg_sweep/images/cfg_15/p07_hands_seed789.png
15,p07_hands,1337,5.129,0.30258,0.597221,0.594136,reports/experiments/exp3_cfg_sweep/images/cfg_15/p07_hands_seed1337.png
15,p08_crowd,42,4.978,0.356483,0.45235,0.398922,reports/experiments/exp3_cfg_sweep/images/cfg_15/p08_crowd_seed42.png
15,p08_crowd,123,5.12,0.346544,0.471837,0.470547,reports/experiments/exp3_cfg_sweep/images/cfg_15/p08_crowd_seed123.png
15,p08_crowd,456,5.132,0.350826,0.55371,0.509408,reports/experiments/exp3_cfg_sweep/images/cfg_15/p08_crowd_seed456.png
15,p08_crowd,789,4.851,0.331119,0.432528,0.377991,reports/experiments/exp3_cfg_sweep/images/cfg_15/p08_crowd_seed789.png
15,p08_crowd,1337,4.931,0.345588,0.482169,0.409027,reports/experiments/exp3_cfg_sweep/images/cfg_15/p08_crowd_seed1337.png
