alpha,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
1.0,p07_hands,1337,6.16,0.334895,0.0,0.5298,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p07_hands_seed1337.png
1.0,p08_crowd,42,6.417,0.386444,0.0,0.453015,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p08_crowd_seed42.png
1.0,p08_crowd,123,6.13,0.370432,0.0,0.302915,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p08_crowd_seed123.png
1.0,p08_crowd,456,6.09,0.385505,0.0,0.365979,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p08_crowd_seed456.png
1.0,p08_crowd,789,6.218,0.383895,0.0,0.327743,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p08_crowd_seed789.png
1.0,p08_crowd,1337,6.201,0.369693,0.0,0.485383,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p08_crowd_seed1337.png
1.25,p01_portrait,42,6.133,0.347013,0.517057,0.517057,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p01_portrait_seed42.png
1.25,p01_portrait,123,6.023,0.352519,0.424646,0.424646,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p01_portrait_seed123.png
1.25,p01_portrait,456,6.506,0.337722,0.234487,0.234487,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p01_portrait_seed456.png
1.25,p01_portrait,789,5.419,0.323617,0.694963,0.694963,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p01_portrait_seed789.png
1.25,p01_portrait,1337,4.291,0.359341,0.406408,0.406408,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p01_portrait_seed1337.png
1.25,p02_landscape,42,5.932,0.350211,0.230278,0.230278,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p02_landscape_seed42.png
1.25,p02_landscape,123,6.192,0.355955,0.394196,0.394196,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p02_landscape_seed123.png
1.25,p02_landscape,456,6.426,0.342471,0.196696,0.196696,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p02_landscape_seed456.png
1.25,p02_landscape,789,6.084,0.383999,0.365245,0.365245,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p02_landscape_seed789.png
1.25,p02_landscape,1337,6.269,0.347259,0.274953,0.274953,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p02_landscape_seed1337.png
1.25,p03_abstract,42,6.043,0.320245,0.445686,0.445686,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p03_abstract_seed42.png
1.25,p03_abstract,123,6.355,0.325192,0.517272,0.517272,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p03_abstract_seed123.png
1.25,p03_abstract,456,6.278,0.322052,0.149743,0.149743,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p03_abstract_seed456.png
1.25,p03_abstract,789,5.279,0.331401,0.407733,0.407733,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p03_abstract_seed789.png
1.25,p03_abstract,1337,4.235,0.330993,0.240568,0.240568,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p03_abstract_seed1337.png
1.25,p04_text,42,4.168,0.319942,0.363102,0.363102,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p04_text_seed42.png
1.25,p04_text,123,4.482,0.288374,0.27972,0.27972,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p04_text_seed123.png
1.25,p04_text,456,6.55,0.322831,0.400226,0.400226,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p04_text_seed456.png
1.25,p04_text,789,6.415,0.317376,0.458419,0.458419,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p04_text_seed789.png
1.25,p04_text,1337,6.212,0.296291,0.543199,0.543199,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p04_text_seed1337.png
1.25,p05_texture,42,6.106,0.328412,0.23909,0.23909,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p05_texture_seed42.png
1.25,p05_texture,123,4.365,0.275433,0.119378,0.119378,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p05_texture_seed123.png
1.25,p05_texture,456,4.407,0.282911,0.298355,0.298355,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p05_texture_seed456.png
1.25,p05_texture,789,4.428,0.308412,0.05978,0.05978,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p05_texture_seed789.png
1.25,p05_texture,1337,4.367,0.317974,0.269403,0.269403,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p05_texture_seed1337.png
1.25,p06_arch,42,4.371,0.332786,0.467102,0.467102,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p06_arch_seed42.png
1.25,p06_arch,123,5.045,0.316193,0.508166,0.508166,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p06_arch_seed123.png
1.25,p06_arch,456,7.721,0.331277,0.556779,0.556779,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p06_arch_seed456.png
1.25,p06_arch,789,7.304,0.316715,0.584873,0.584873,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p06_arch_seed789.png
1.25,p06_arch,1337,6.179,0.347794,0.500121,0.500121,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p06_arch_seed1337.png
1.25,p07_hands,42,5.035,0.33606,0.322134,0.322134,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p07_hands_seed42.png
1.25,p07_hands,123,4.25,0.345429,0.484469,0.484469,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p07_hands_seed123.png
1.25,p07_hands,456,4.274,0.331928,0.683573,0.683573,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p07_hands_seed456.png
1.25,p07_hands,789,4.409,0.328251,0.420253,0.420253,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p07_hands_seed789.png
1.25,p07_hands,1337,4.434,0.327666,0.574824,0.574824,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p07_hands_seed1337.png
1.25,p08_crowd,42,4.602,0.377672,0.388402,0.388402,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p08_crowd_seed42.png
1.25,p08_crowd,123,5.539,0.367784,0.366137,0.366137,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p08_crowd_seed123.png
1.25,p08_crowd,456,6.495,0.351942,0.384779,0.384779,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p08_crowd_seed456.png
1.25,p08_crowd,789,6.602,0.380661,0.307175,0.307175,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p08_crowd_seed789.png
1.25,p08_crowd,1337,6.764,0.367491,0.415936,0.415936,reports/experiments/exp6_lora_alpha/images/alpha_1.25/p08_crowd_seed1337.png
1.5,p01_portrait,42,6.67,0.343756,0.557146,0.441565,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p01_portrait_seed42.png
1.5,p01_portrait,123,7.017,0.331077,0.587973,0.479102,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p01_portrait_seed123.png
1.5,p01_portrait,456,6.88,0.361928,0.603257,0.562813,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p01_portrait_seed456.png
1.5,p01_portrait,789,6.946,0.326168,0.796897,0.574521,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p01_portrait_seed789.png
1.5,p01_portrait,1337,6.478,0.345085,0.482421,0.38854,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p01_portrait_seed1337.png
1.5,p02_landscape,42,6.235,0.345191,0.351862,0.212491,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p02_landscape_seed42.png
1.5,p02_landscape,123,6.524,0.345691,0.404899,0.164512,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p02_landscape_seed123.png
1.5,p02_landscape,456,7.185,0.340442,0.470943,0.398281,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p02_landscape_seed456.png
1.5,p02_landscape,789,6.171,0.335639,0.541165,0.401661,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p02_landscape_seed789.png
1.5,p02_landscape,1337,6.162,0.337698,0.445785,0.302031,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p02_landscape_seed1337.png
1.5,p03_abstract,42,6.257,0.342923,0.558827,0.393091,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p03_abstract_seed42.png
1.5,p03_abstract,123,6.778,0.320202,0.499712,0.465168,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p03_abstract_seed123.png
1.5,p03_abstract,456,7.066,0.305051,0.235215,0.199084,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p03_abstract_seed456.png
1.5,p03_abstract,789,6.61,0.35197,0.605667,0.418091,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p03_abstract_seed789.png
1.5,p03_abstract,1337,6.306,0.330184,0.25971,0.099451,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p03_abstract_seed1337.png
1.5,p04_text,42,6.447,0.31059,0.516354,0.456578,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p04_text_seed42.png
1.5,p04_text,123,6.182,0.270581,0.380296,0.263805,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p04_text_seed123.png
1.5,p04_text,456,6.725,0.297587,0.540417,0.408237,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p04_text_seed456.png
1.5,p04_text,789,6.325,0.265239,0.537286,0.456993,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p04_text_seed789.png
1.5,p04_text,1337,6.168,0.258052,0.615501,0.382946,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p04_text_seed1337.png
1.5,p05_texture,42,6.214,0.291991,0.372734,0.302195,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p05_texture_seed42.png
1.5,p05_texture,123,6.464,0.313387,0.216812,0.180518,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p05_texture_seed123.png
1.5,p05_texture,456,6.345,0.241121,0.584296,0.456457,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p05_texture_seed456.png
1.5,p05_texture,789,6.209,0.286613,0.076884,0.053878,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p05_texture_seed789.png
1.5,p05_texture,1337,6.641,0.31187,0.334448,0.167263,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p05_texture_seed1337.png
1.5,p06_arch,42,7.348,0.325332,0.56349,0.530078,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p06_arch_seed42.png
1.5,p06_arch,123,6.393,0.323571,0.604175,0.408904,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p06_arch_seed123.png
1.5,p06_arch,456,6.447,0.319808,0.65765,0.432254,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p06_arch_seed456.png
1.5,p06_arch,789,6.481,0.321008,0.588119,0.346807,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p06_arch_seed789.png
1.5,p06_arch,1337,6.385,0.34162,0.593867,0.44328,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p06_arch_seed1337.png
1.5,p07_hands,42,6.524,0.337117,0.434138,0.352163,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p07_hands_seed42.png
1.5,p07_hands,123,6.168,0.330917,0.496946,0.444739,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p07_hands_seed123.png
1.5,p07_hands,456,6.415,0.315907,0.70882,0.507945,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p07_hands_seed456.png
1.5,p07_hands,789,6.013,0.314791,0.709592,0.639893,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p07_hands_seed789.png
1.5,p07_hands,1337,6.156,0.347943,0.623338,0.45964,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p07_hands_seed1337.png
1.5,p08_crowd,42,6.148,0.368725,0.461405,0.359801,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p08_crowd_seed42.png
1.5,p08_crowd,123,6.179,0.363895,0.565611,0.41124,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p08_crowd_seed123.png
1.5,p08_crowd,456,6.299,0.339414,0.531369,0.384538,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p08_crowd_seed456.png
1.5,p08_crowd,789,6.486,0.37212,0.476143,0.323388,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p08_crowd_seed789.png
1.5,p08_crowd,1337,6.141,0.345436,0.49534,0.380356,reports/experiments/exp6_lora_alpha/images/alpha_1.5/p08_crowd_seed1337.png
