condition,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_no_trigger,image_path
no_trigger,p08_crowd,123,17.338,0.338136,0.240601,0.21034,0.277314,reports/experiments/exp9_sdxl/images/no_trigger/p08_crowd_seed123.png
no_trigger,p08_crowd,456,17.324,0.376156,0.24646,1.469038,0.189725,reports/experiments/exp9_sdxl/images/no_trigger/p08_crowd_seed456.png
no_trigger,p08_crowd,789,17.264,0.357085,0.25708,1.566581,0.244675,reports/experiments/exp9_sdxl/images/no_trigger/p08_crowd_seed789.png
no_trigger,p08_crowd,1337,17.232,0.36756,0.250732,0.654385,0.164056,reports/experiments/exp9_sdxl/images/no_trigger/p08_crowd_seed1337.png
with_trigger,p01_portrait,42,17.285,0.366687,0.24353,-0.341711,0.252142,reports/experiments/exp9_sdxl/images/with_trigger/p01_portrait_seed42.png
with_trigger,p01_portrait,123,17.274,0.291154,0.16272,-1.429968,0.274234,reports/experiments/exp9_sdxl/images/with_trigger/p01_portrait_seed123.png
with_trigger,p01_portrait,456,17.298,0.343943,0.225708,-0.007643,0.423043,reports/experiments/exp9_sdxl/images/with_trigger/p01_portrait_seed456.png
with_trigger,p01_portrait,789,17.331,0.320588,0.216919,0.126387,0.401722,reports/experiments/exp9_sdxl/images/with_trigger/p01_portrait_seed789.png
with_trigger,p01_portrait,1337,17.38,0.336906,0.210938,-0.544496,0.309761,reports/experiments/exp9_sdxl/images/with_trigger/p01_portrait_seed1337.png
with_trigger,p02_landscape,42,17.362,0.357746,0.258057,1.311038,0.153835,reports/experiments/exp9_sdxl/images/with_trigger/p02_landscape_seed42.png
with_trigger,p02_landscape,123,17.288,0.36911,0.244507,0.796172,0.16465,reports/experiments/exp9_sdxl/images/with_trigger/p02_landscape_seed123.png
with_trigger,p02_landscape,456,17.276,0.355364,0.259766,1.341695,0.116943,reports/experiments/exp9_sdxl/images/with_trigger/p02_landscape_seed456.png
with_trigger,p02_landscape,789,17.161,0.359899,0.249512,1.485314,0.209975,reports/experiments/exp9_sdxl/images/with_trigger/p02_landscape_seed789.png
with_trigger,p02_landscape,1337,17.259,0.349003,0.247437,1.310406,0.133056,reports/experiments/exp9_sdxl/images/with_trigger/p02_landscape_seed1337.png
with_trigger,p03_abstract,42,17.273,0.276439,0.210205,-0.497782,0.319659,reports/experiments/exp9_sdxl/images/with_trigger/p03_abstract_seed42.png
with_trigger,p03_abstract,123,17.319,0.300323,0.236328,0.641018,0.428612,reports/experiments/exp9_sdxl/images/with_trigger/p03_abstract_seed123.png
with_trigger,p03_abstract,456,17.282,0.333414,0.237183,0.365938,0.549478,reports/experiments/exp9_sdxl/images/with_trigger/p03_abstract_seed456.png
with_trigger,p03_abstract,789,17.384,0.285512,0.23584,0.800929,0.474097,reports/experiments/exp9_sdxl/images/with_trigger/p03_abstract_seed789.png
with_trigger,p03_abstract,1337,17.354,0.30905,0.226562,0.373568,0.438804,reports/experiments/exp9_sdxl/images/with_trigger/p03_abstract_seed1337.png
with_trigger,p04_text,42,17.229,0.327185,0.186035,0.474297,0.523409,reports/experiments/exp9_sdxl/images/with_trigger/p04_text_seed42.png
with_trigger,p04_text,123,17.166,0.304956,0.179199,-0.175374,0.404392,reports/experiments/exp9_sdxl/images/with_trigger/p04_text_seed123.png
with_trigger,p04_text,456,17.196,0.310477,0.228271,0.85014,0.463156,reports/experiments/exp9_sdxl/images/with_trigger/p04_text_seed456.png
with_trigger,p04_text,789,17.216,0.301001,0.206909,0.571789,0.497598,reports/experiments/exp9_sdxl/images/with_trigger/p04_text_seed789.png
with_trigger,p04_text,1337,17.188,0.311399,0.188477,0.051081,0.517942,reports/experiments/exp9_sdxl/images/with_trigger/p04_text_seed1337.png
with_trigger,p05_texture,42,17.208,0.32005,0.200439,-1.634955,0.247936,reports/experiments/exp9_sdxl/images/with_trigger/p05_texture_seed42.png
with_trigger,p05_texture,123,17.259,0.338719,0.219482,0.044866,0.199422,reports/experiments/exp9_sdxl/images/with_trigger/p05_texture_seed123.png
with_trigger,p05_texture,456,17.258,0.323882,0.243652,-0.579907,0.15737,reports/experiments/exp9_sdxl/images/with_trigger/p05_texture_seed456.png
with_trigger,p05_texture,789,17.283,0.329204,0.22229,-1.615922,0.291293,reports/experiments/exp9_sdxl/images/with_trigger/p05_texture_seed789.png
with_trigger,p05_texture,1337,17.34,0.305879,0.21814,-1.121348,0.19073,reports/experiments/exp9_sdxl/images/with_trigger/p05_texture_seed1337.png
with_trigger,p06_arch,42,17.291,0.317805,0.211182,-0.674164,0.259834,reports/experiments/exp9_sdxl/images/with_trigger/p06_arch_seed42.png
with_trigger,p06_arch,123,17.311,0.265002,0.146606,-1.688787,0.200837,reports/experiments/exp9_sdxl/images/with_trigger/p06_arch_seed123.png
with_trigger,p06_arch,456,17.289,0.322837,0.187744,-0.364089,0.323546,reports/experiments/exp9_sdxl/images/with_trigger/p06_arch_seed456.png
with_trigger,p06_arch,789,17.255,0.346266,0.208008,-0.489956,0.171779,reports/experiments/exp9_sdxl/images/with_trigger/p06_arch_seed789.png
with_trigger,p06_arch,1337,17.253,0.338559,0.223755,0.813722,0.284014,reports/experiments/exp9_sdxl/images/with_trigger/p06_arch_seed1337.png
with_trigger,p07_hands,42,17.252,0.319428,0.199951,0.435993,0.276483,reports/experiments/exp9_sdxl/images/with_trigger/p07_hands_seed42.png
with_trigger,p07_hands,123,17.288,0.318814,0.177612,-0.970427,0.389367,reports/experiments/exp9_sdxl/images/with_trigger/p07_hands_seed123.png
with_trigger,p07_hands,456,17.25,0.304369,0.179565,-1.005636,0.379999,reports/experiments/exp9_sdxl/images/with_trigger/p07_hands_seed456.png
with_trigger,p07_hands,789,17.234,0.352341,0.192627,0.24862,0.291095,reports/experiments/exp9_sdxl/images/with_trigger/p07_hands_seed789.png
with_trigger,p07_hands,1337,17.143,0.314215,0.172241,-0.261637,0.209613,reports/experiments/exp9_sdxl/images/with_trigger/p07_hands_seed1337.png
with_trigger,p08_crowd,42,17.167,0.377067,0.253174,1.647577,0.223751,reports/experiments/exp9_sdxl/images/with_trigger/p08_crowd_seed42.png
with_trigger,p08_crowd,123,17.183,0.317866,0.227661,0.096266,0.277314,reports/experiments/exp9_sdxl/images/with_trigger/p08_crowd_seed123.png
with_trigger,p08_crowd,456,17.215,0.364596,0.243042,1.320074,0.189725,reports/experiments/exp9_sdxl/images/with_trigger/p08_crowd_seed456.png
with_trigger,p08_crowd,789,17.303,0.355471,0.256104,1.1857,0.244675,reports/experiments/exp9_sdxl/images/with_trigger/p08_crowd_seed789.png
with_trigger,p08_crowd,1337,17.235,0.362061,0.239624,0.768063,0.164056,reports/experiments/exp9_sdxl/images/with_trigger/p08_crowd_seed1337.png
