condition,prompt_id,seed,latency_s,clip_score,lpips,image_path
with_neg,p01_portrait,456,7.376,0.299856,0.500099,reports/experiments/exp2_negative_prompt/images/with_neg/p01_portrait_seed456.png
with_neg,p01_portrait,789,6.821,0.318635,0.684121,reports/experiments/exp2_negative_prompt/images/with_neg/p01_portrait_seed789.png
with_neg,p01_portrait,1337,5.492,0.341146,0.552039,reports/experiments/exp2_negative_prompt/images/with_neg/p01_portrait_seed1337.png
with_neg,p02_landscape,42,5.142,0.324788,0.491115,reports/experiments/exp2_negative_prompt/images/with_neg/p02_landscape_seed42.png
with_neg,p02_landscape,123,4.927,0.303472,0.554658,reports/experiments/exp2_negative_prompt/images/with_neg/p02_landscape_seed123.png
with_neg,p02_landscape,456,5.116,0.321038,0.393563,reports/experiments/exp2_negative_prompt/images/with_neg/p02_landscape_seed456.png
with_neg,p02_landscape,789,4.76,0.310605,0.373331,reports/experiments/exp2_negative_prompt/images/with_neg/p02_landscape_seed789.png
with_neg,p02_landscape,1337,4.924,0.327202,0.362502,reports/experiments/exp2_negative_prompt/images/with_neg/p02_landscape_seed1337.png
with_neg,p03_abstract,42,5.334,0.306955,0.317651,reports/experiments/exp2_negative_prompt/images/with_neg/p03_abstract_seed42.png
with_neg,p03_abstract,123,5.069,0.306416,0.279145,reports/experiments/exp2_negative_prompt/images/with_neg/p03_abstract_seed123.png
with_neg,p03_abstract,456,6.56,0.317099,0.372387,reports/experiments/exp2_negative_prompt/images/with_neg/p03_abstract_seed456.png
with_neg,p03_abstract,789,6.86,0.339504,0.421364,reports/experiments/exp2_negative_prompt/images/with_neg/p03_abstract_seed789.png
with_neg,p03_abstract,1337,6.533,0.321098,0.36664,reports/experiments/exp2_negative_prompt/images/with_neg/p03_abstract_seed1337.png
with_neg,p04_text,42,6.903,0.314498,0.427061,reports/experiments/exp2_negative_prompt/images/with_neg/p04_text_seed42.png
with_neg,p04_text,123,6.817,0.27346,0.451758,reports/experiments/exp2_negative_prompt/images/with_neg/p04_text_seed123.png
with_neg,p04_text,456,6.586,0.284091,0.520922,reports/experiments/exp2_negative_prompt/images/with_neg/p04_text_seed456.png
with_neg,p04_text,789,6.696,0.26017,0.330838,reports/experiments/exp2_negative_prompt/images/with_neg/p04_text_seed789.png
with_neg,p04_text,1337,6.609,0.32503,0.616573,reports/experiments/exp2_negative_prompt/images/with_neg/p04_text_seed1337.png
with_neg,p05_texture,42,6.954,0.334815,0.452322,reports/experiments/exp2_negative_prompt/images/with_neg/p05_texture_seed42.png
with_neg,p05_texture,123,6.943,0.329882,0.5844,reports/experiments/exp2_negative_prompt/images/with_neg/p05_texture_seed123.png
with_neg,p05_texture,456,4.989,0.281335,0.332841,reports/experiments/exp2_negative_prompt/images/with_neg/p05_texture_seed456.png
with_neg,p05_texture,789,6.801,0.300384,0.642189,reports/experiments/exp2_negative_prompt/images/with_neg/p05_texture_seed789.png
with_neg,p05_texture,1337,5.958,0.34199,0.551723,reports/experiments/exp2_negative_prompt/images/with_neg/p05_texture_seed1337.png
with_neg,p06_arch,42,6.584,0.282387,0.546199,reports/experiments/exp2_negative_prompt/images/with_neg/p06_arch_seed42.png
with_neg,p06_arch,123,4.978,0.306847,0.290604,reports/experiments/exp2_negative_prompt/images/with_neg/p06_arch_seed123.png
with_neg,p06_arch,456,4.878,0.306006,0.434699,reports/experiments/exp2_negative_prompt/images/with_neg/p06_arch_seed456.png
with_neg,p06_arch,789,5.404,0.33161,0.469467,reports/experiments/exp2_negative_prompt/images/with_neg/p06_arch_seed789.png
with_neg,p06_arch,1337,7.188,0.306477,0.496224,reports/experiments/exp2_negative_prompt/images/with_neg/p06_arch_seed1337.png
with_neg,p07_hands,42,7.168,0.278335,0.432655,reports/experiments/exp2_negative_prompt/images/with_neg/p07_hands_seed42.png
with_neg,p07_hands,123,7.009,0.265632,0.697794,reports/experiments/exp2_negative_prompt/images/with_neg/p07_hands_seed123.png
with_neg,p07_hands,456,7.253,0.29368,0.373351,reports/experiments/exp2_negative_prompt/images/with_neg/p07_hands_seed456.png
with_neg,p07_hands,789,5.63,0.317236,0.419018,reports/experiments/exp2_negative_prompt/images/with_neg/p07_hands_seed789.png
with_neg,p07_hands,1337,5.219,0.277363,0.578906,reports/experiments/exp2_negative_prompt/images/with_neg/p07_hands_seed1337.png
with_neg,p08_crowd,42,4.929,0.330529,0.430904,reports/experiments/exp2_negative_prompt/images/with_neg/p08_crowd_seed42.png
with_neg,p08_crowd,123,5.248,0.33716,0.365605,reports/experiments/exp2_negative_prompt/images/with_neg/p08_crowd_seed123.png
with_neg,p08_crowd,456,5.988,0.347168,0.511582,reports/experiments/exp2_negative_prompt/images/with_neg/p08_crowd_seed456.png
with_neg,p08_crowd,789,7.651,0.323124,0.43465,reports/experiments/exp2_negative_prompt/images/with_neg/p08_crowd_seed789.png
with_neg,p08_crowd,1337,6.948,0.353425,0.502444,reports/experiments/exp2_negative_prompt/images/with_neg/p08_crowd_seed1337.png
