condition,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_no_neg,image_path
no_neg,p08_crowd,456,16.157,0.327277,0.278809,1.390715,0.334934,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed456.png
no_neg,p08_crowd,789,16.286,0.338902,0.29126,1.338648,0.302139,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed789.png
no_neg,p08_crowd,1337,16.313,0.331837,0.296143,1.603472,0.40157,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed1337.png
with_neg,p01_portrait,42,16.495,0.36219,0.338135,1.538647,0.397738,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed42.png
with_neg,p01_portrait,123,16.516,0.386301,0.320312,1.570456,0.217829,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed123.png
with_neg,p01_portrait,456,16.56,0.36984,0.35083,1.603544,0.189943,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed456.png
with_neg,p01_portrait,789,16.547,0.376916,0.354004,1.33127,0.181589,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed789.png
with_neg,p01_portrait,1337,16.512,0.385104,0.347168,1.633171,0.261236,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed1337.png
with_neg,p02_landscape,42,16.555,0.335829,0.277588,1.196787,0.168831,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed42.png
with_neg,p02_landscape,123,16.686,0.341698,0.30542,0.887681,0.393518,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed123.png
with_neg,p02_landscape,456,16.593,0.330168,0.247437,0.787712,0.265654,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed456.png
with_neg,p02_landscape,789,16.605,0.335347,0.257568,1.027135,0.202839,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed789.png
with_neg,p02_landscape,1337,16.444,0.334711,0.26123,1.012648,0.157083,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed1337.png
with_neg,p03_abstract,42,16.7,0.317075,0.227905,0.246899,0.425954,reports/experiments/exp2_sdxl/images/with_neg/p03_abstract_seed42.png
with_neg,p03_abstract,123,16.508,0.315664,0.243042,0.103401,0.321219,reports/experiments/exp2_sdxl/images/with_neg/p03_abstract_seed123.png
with_neg,p03_abstract,456,16.557,0.321031,0.234009,0.144222,0.526215,reports/experiments/exp2_sdxl/images/with_neg/p03_abstract_seed456.png
with_neg,p03_abstract,789,16.28,0.311566,0.240845,0.126177,0.324399,reports/experiments/exp2_sdxl/images/with_neg/p03_abstract_seed789.png
with_neg,p03_abstract,1337,16.31,0.327856,0.239868,0.325501,0.514125,reports/experiments/exp2_sdxl/images/with_neg/p03_abstract_seed1337.png
with_neg,p04_text,42,16.654,0.286173,0.257324,0.536721,0.456175,reports/experiments/exp2_sdxl/images/with_neg/p04_text_seed42.png
with_neg,p04_text,123,16.271,0.29531,0.270264,0.639508,0.482233,reports/experiments/exp2_sdxl/images/with_neg/p04_text_seed123.png
with_neg,p04_text,456,16.623,0.273665,0.290283,0.847023,0.357086,reports/experiments/exp2_sdxl/images/with_neg/p04_text_seed456.png
with_neg,p04_text,789,16.322,0.261918,0.257324,0.478405,0.548673,reports/experiments/exp2_sdxl/images/with_neg/p04_text_seed789.png
with_neg,p04_text,1337,16.449,0.287154,0.274902,0.84959,0.331727,reports/experiments/exp2_sdxl/images/with_neg/p04_text_seed1337.png
with_neg,p05_texture,42,16.389,0.304931,0.214355,-1.04425,0.648429,reports/experiments/exp2_sdxl/images/with_neg/p05_texture_seed42.png
with_neg,p05_texture,123,16.629,0.33889,0.223511,-0.763597,0.694511,reports/experiments/exp2_sdxl/images/with_neg/p05_texture_seed123.png
with_neg,p05_texture,456,16.636,0.331083,0.26001,-0.239428,0.402104,reports/experiments/exp2_sdxl/images/with_neg/p05_texture_seed456.png
with_neg,p05_texture,789,16.588,0.332012,0.253418,0.083278,0.506938,reports/experiments/exp2_sdxl/images/with_neg/p05_texture_seed789.png
with_neg,p05_texture,1337,16.577,0.334833,0.224121,-0.855274,0.495384,reports/experiments/exp2_sdxl/images/with_neg/p05_texture_seed1337.png
with_neg,p06_arch,42,16.585,0.319474,0.311279,0.114998,0.322125,reports/experiments/exp2_sdxl/images/with_neg/p06_arch_seed42.png
with_neg,p06_arch,123,16.602,0.325428,0.30957,0.11603,0.347211,reports/experiments/exp2_sdxl/images/with_neg/p06_arch_seed123.png
with_neg,p06_arch,456,16.258,0.321827,0.308838,0.152496,0.466129,reports/experiments/exp2_sdxl/images/with_neg/p06_arch_seed456.png
with_neg,p06_arch,789,16.283,0.317729,0.326904,0.312941,0.380038,reports/experiments/exp2_sdxl/images/with_neg/p06_arch_seed789.png
with_neg,p06_arch,1337,16.604,0.317749,0.324707,0.076045,0.288319,reports/experiments/exp2_sdxl/images/with_neg/p06_arch_seed1337.png
with_neg,p07_hands,42,16.355,0.310027,0.287598,0.694816,0.288918,reports/experiments/exp2_sdxl/images/with_neg/p07_hands_seed42.png
with_neg,p07_hands,123,16.397,0.300757,0.279053,0.087831,0.475049,reports/experiments/exp2_sdxl/images/with_neg/p07_hands_seed123.png
with_neg,p07_hands,456,16.227,0.312173,0.282715,0.726558,0.416086,reports/experiments/exp2_sdxl/images/with_neg/p07_hands_seed456.png
with_neg,p07_hands,789,16.482,0.313259,0.278564,0.768751,0.456364,reports/experiments/exp2_sdxl/images/with_neg/p07_hands_seed789.png
with_neg,p07_hands,1337,16.178,0.310897,0.256836,0.558036,0.269678,reports/experiments/exp2_sdxl/images/with_neg/p07_hands_seed1337.png
with_neg,p08_crowd,42,16.578,0.316792,0.309082,1.572594,0.378222,reports/experiments/exp2_sdxl/images/with_neg/p08_crowd_seed42.png
with_neg,p08_crowd,123,16.231,0.33761,0.30957,1.75111,0.381736,reports/experiments/exp2_sdxl/images/with_neg/p08_crowd_seed123.png
with_neg,p08_crowd,456,16.189,0.320852,0.304199,1.682448,0.334934,reports/experiments/exp2_sdxl/images/with_neg/p08_crowd_seed456.png
with_neg,p08_crowd,789,16.428,0.34,0.310059,1.469863,0.302139,reports/experiments/exp2_sdxl/images/with_neg/p08_crowd_seed789.png
with_neg,p08_crowd,1337,16.328,0.337125,0.325195,1.81375,0.40157,reports/experiments/exp2_sdxl/images/with_neg/p08_crowd_seed1337.png
