alpha,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,image_path
0.0,p08_crowd,123,17.162,0.35263,0.285889,1.659936,0.735703,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed123.png
0.0,p08_crowd,456,17.19,0.358674,0.291992,1.510143,0.742767,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed456.png
0.0,p08_crowd,789,17.19,0.363478,0.295654,1.858582,0.722809,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed789.png
0.0,p08_crowd,1337,17.21,0.356123,0.286865,1.564328,0.724553,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed1337.png
0.25,p01_portrait,42,17.318,0.335491,0.294189,0.182746,0.725613,reports/experiments/exp8_sdxl/images/alpha_0.25/p01_portrait_seed42.png
0.25,p01_portrait,123,17.271,0.309002,0.30957,1.430239,0.635433,reports/experiments/exp8_sdxl/images/alpha_0.25/p01_portrait_seed123.png
0.25,p01_portrait,456,17.207,0.33748,0.303955,1.119345,0.652799,reports/experiments/exp8_sdxl/images/alpha_0.25/p01_portrait_seed456.png
0.25,p01_portrait,789,17.244,0.319633,0.290039,0.486672,0.724458,reports/experiments/exp8_sdxl/images/alpha_0.25/p01_portrait_seed789.png
0.25,p01_portrait,1337,17.229,0.331383,0.309814,1.685875,0.658699,reports/experiments/exp8_sdxl/images/alpha_0.25/p01_portrait_seed1337.png
0.25,p02_landscape,42,17.264,0.333756,0.29834,1.569338,0.674494,reports/experiments/exp8_sdxl/images/alpha_0.25/p02_landscape_seed42.png
0.25,p02_landscape,123,17.262,0.333771,0.311523,1.756208,0.68544,reports/experiments/exp8_sdxl/images/alpha_0.25/p02_landscape_seed123.png
0.25,p02_landscape,456,17.263,0.346765,0.297363,1.564639,0.627154,reports/experiments/exp8_sdxl/images/alpha_0.25/p02_landscape_seed456.png
0.25,p02_landscape,789,17.254,0.296541,0.24646,0.639342,0.75232,reports/experiments/exp8_sdxl/images/alpha_0.25/p02_landscape_seed789.png
0.25,p02_landscape,1337,17.235,0.335176,0.304443,1.234257,0.742769,reports/experiments/exp8_sdxl/images/alpha_0.25/p02_landscape_seed1337.png
0.25,p03_abstract,42,17.303,0.279504,0.233643,0.088967,0.51098,reports/experiments/exp8_sdxl/images/alpha_0.25/p03_abstract_seed42.png
0.25,p03_abstract,123,17.28,0.292498,0.230347,0.261372,0.492011,reports/experiments/exp8_sdxl/images/alpha_0.25/p03_abstract_seed123.png
0.25,p03_abstract,456,17.281,0.304994,0.226685,0.460745,0.571264,reports/experiments/exp8_sdxl/images/alpha_0.25/p03_abstract_seed456.png
0.25,p03_abstract,789,17.342,0.280281,0.218384,0.255184,0.529295,reports/experiments/exp8_sdxl/images/alpha_0.25/p03_abstract_seed789.png
0.25,p03_abstract,1337,17.268,0.291052,0.224976,0.457213,0.458754,reports/experiments/exp8_sdxl/images/alpha_0.25/p03_abstract_seed1337.png
0.25,p04_text,42,17.243,0.324228,0.244019,1.331886,0.671269,reports/experiments/exp8_sdxl/images/alpha_0.25/p04_text_seed42.png
0.25,p04_text,123,17.184,0.354307,0.282715,0.284915,0.566102,reports/experiments/exp8_sdxl/images/alpha_0.25/p04_text_seed123.png
0.25,p04_text,456,17.201,0.340914,0.253662,1.645065,0.67078,reports/experiments/exp8_sdxl/images/alpha_0.25/p04_text_seed456.png
0.25,p04_text,789,17.31,0.327481,0.244019,1.141447,0.610082,reports/experiments/exp8_sdxl/images/alpha_0.25/p04_text_seed789.png
0.25,p04_text,1337,17.284,0.341772,0.259521,1.40197,0.633455,reports/experiments/exp8_sdxl/images/alpha_0.25/p04_text_seed1337.png
0.25,p05_texture,42,17.322,0.311825,0.216797,-1.607007,0.562225,reports/experiments/exp8_sdxl/images/alpha_0.25/p05_texture_seed42.png
0.25,p05_texture,123,17.23,0.310774,0.230469,-1.482726,0.666313,reports/experiments/exp8_sdxl/images/alpha_0.25/p05_texture_seed123.png
0.25,p05_texture,456,17.282,0.312461,0.2323,-0.941632,0.621774,reports/experiments/exp8_sdxl/images/alpha_0.25/p05_texture_seed456.png
0.25,p05_texture,789,17.321,0.302574,0.210327,-1.769181,0.586412,reports/experiments/exp8_sdxl/images/alpha_0.25/p05_texture_seed789.png
0.25,p05_texture,1337,17.24,0.314794,0.223267,-1.57259,0.642847,reports/experiments/exp8_sdxl/images/alpha_0.25/p05_texture_seed1337.png
0.25,p06_arch,42,17.282,0.328356,0.239502,0.717975,0.65296,reports/experiments/exp8_sdxl/images/alpha_0.25/p06_arch_seed42.png
0.25,p06_arch,123,17.3,0.336892,0.258789,0.896449,0.679364,reports/experiments/exp8_sdxl/images/alpha_0.25/p06_arch_seed123.png
0.25,p06_arch,456,17.288,0.355173,0.25708,1.178517,0.644489,reports/experiments/exp8_sdxl/images/alpha_0.25/p06_arch_seed456.png
0.25,p06_arch,789,17.287,0.317801,0.270508,0.619987,0.671894,reports/experiments/exp8_sdxl/images/alpha_0.25/p06_arch_seed789.png
0.25,p06_arch,1337,17.32,0.335721,0.250244,0.874996,0.725116,reports/experiments/exp8_sdxl/images/alpha_0.25/p06_arch_seed1337.png
0.25,p07_hands,42,17.273,0.297939,0.241455,0.700833,0.642331,reports/experiments/exp8_sdxl/images/alpha_0.25/p07_hands_seed42.png
0.25,p07_hands,123,17.3,0.32143,0.260742,1.030042,0.689406,reports/experiments/exp8_sdxl/images/alpha_0.25/p07_hands_seed123.png
0.25,p07_hands,456,17.336,0.277337,0.238647,0.756214,0.734991,reports/experiments/exp8_sdxl/images/alpha_0.25/p07_hands_seed456.png
0.25,p07_hands,789,17.375,0.292368,0.221191,0.807247,0.640384,reports/experiments/exp8_sdxl/images/alpha_0.25/p07_hands_seed789.png
0.25,p07_hands,1337,17.332,0.346021,0.237427,1.09831,0.773012,reports/experiments/exp8_sdxl/images/alpha_0.25/p07_hands_seed1337.png
0.25,p08_crowd,42,17.216,0.35358,0.287598,1.376825,0.667893,reports/experiments/exp8_sdxl/images/alpha_0.25/p08_crowd_seed42.png
0.25,p08_crowd,123,17.294,0.358564,0.277344,1.731081,0.604974,reports/experiments/exp8_sdxl/images/alpha_0.25/p08_crowd_seed123.png
0.25,p08_crowd,456,17.286,0.357874,0.302246,1.485382,0.705723,reports/experiments/exp8_sdxl/images/alpha_0.25/p08_crowd_seed456.png
0.25,p08_crowd,789,17.348,0.379493,0.279053,1.829048,0.699954,reports/experiments/exp8_sdxl/images/alpha_0.25/p08_crowd_seed789.png
0.25,p08_crowd,1337,17.305,0.345749,0.257324,1.117965,0.675191,reports/experiments/exp8_sdxl/images/alpha_0.25/p08_crowd_seed1337.png
0.5,p01_portrait,42,17.315,0.334279,0.294922,0.065765,0.660139,reports/experiments/exp8_sdxl/images/alpha_0.5/p01_portrait_seed42.png
0.5,p01_portrait,123,17.279,0.374633,0.275146,1.374565,0.46347,reports/experiments/exp8_sdxl/images/alpha_0.5/p01_portrait_seed123.png
0.5,p01_portrait,456,17.232,0.341599,0.282227,0.536275,0.535854,reports/experiments/exp8_sdxl/images/alpha_0.5/p01_portrait_seed456.png
0.5,p01_portrait,789,17.195,0.313695,0.255859,0.411906,0.576448,reports/experiments/exp8_sdxl/images/alpha_0.5/p01_portrait_seed789.png
0.5,p01_portrait,1337,17.232,0.329057,0.275635,1.038491,0.551202,reports/experiments/exp8_sdxl/images/alpha_0.5/p01_portrait_seed1337.png
0.5,p02_landscape,42,17.201,0.340942,0.30542,1.583629,0.585651,reports/experiments/exp8_sdxl/images/alpha_0.5/p02_landscape_seed42.png
0.5,p02_landscape,123,17.227,0.347149,0.304932,1.400783,0.544653,reports/experiments/exp8_sdxl/images/alpha_0.5/p02_landscape_seed123.png
0.5,p02_landscape,456,17.227,0.366806,0.288818,1.450337,0.415899,reports/experiments/exp8_sdxl/images/alpha_0.5/p02_landscape_seed456.png
0.5,p02_landscape,789,17.178,0.369174,0.283936,1.61593,0.602717,reports/experiments/exp8_sdxl/images/alpha_0.5/p02_landscape_seed789.png
0.5,p02_landscape,1337,17.219,0.361378,0.287842,1.503763,0.44909,reports/experiments/exp8_sdxl/images/alpha_0.5/p02_landscape_seed1337.png
0.5,p03_abstract,42,17.303,0.281025,0.21875,-0.949282,0.471991,reports/experiments/exp8_sdxl/images/alpha_0.5/p03_abstract_seed42.png
0.5,p03_abstract,123,17.233,0.295737,0.247192,0.34877,0.429245,reports/experiments/exp8_sdxl/images/alpha_0.5/p03_abstract_seed123.png
0.5,p03_abstract,456,17.239,0.311324,0.237061,0.910763,0.518317,reports/experiments/exp8_sdxl/images/alpha_0.5/p03_abstract_seed456.png
0.5,p03_abstract,789,17.235,0.28647,0.232178,0.103189,0.501332,reports/experiments/exp8_sdxl/images/alpha_0.5/p03_abstract_seed789.png
0.5,p03_abstract,1337,17.328,0.288678,0.223022,0.504899,0.447008,reports/experiments/exp8_sdxl/images/alpha_0.5/p03_abstract_seed1337.png
0.5,p04_text,42,17.339,0.315706,0.217163,0.157664,0.522766,reports/experiments/exp8_sdxl/images/alpha_0.5/p04_text_seed42.png
0.5,p04_text,123,17.263,0.358002,0.242554,0.236975,0.50062,reports/experiments/exp8_sdxl/images/alpha_0.5/p04_text_seed123.png
0.5,p04_text,456,17.258,0.340143,0.242676,1.274132,0.635934,reports/experiments/exp8_sdxl/images/alpha_0.5/p04_text_seed456.png
0.5,p04_text,789,17.23,0.330741,0.237183,0.951421,0.559251,reports/experiments/exp8_sdxl/images/alpha_0.5/p04_text_seed789.png
0.5,p04_text,1337,17.339,0.331166,0.251221,1.49312,0.594344,reports/experiments/exp8_sdxl/images/alpha_0.5/p04_text_seed1337.png
0.5,p05_texture,42,17.305,0.311979,0.202026,-1.707257,0.403042,reports/experiments/exp8_sdxl/images/alpha_0.5/p05_texture_seed42.png
0.5,p05_texture,123,17.273,0.311651,0.229614,-1.122396,0.546004,reports/experiments/exp8_sdxl/images/alpha_0.5/p05_texture_seed123.png
0.5,p05_texture,456,17.28,0.298742,0.236938,-0.732526,0.50438,reports/experiments/exp8_sdxl/images/alpha_0.5/p05_texture_seed456.png
0.5,p05_texture,789,17.325,0.29563,0.225464,-1.489046,0.491744,reports/experiments/exp8_sdxl/images/alpha_0.5/p05_texture_seed789.png
0.5,p05_texture,1337,17.245,0.30342,0.22583,-1.639866,0.52234,reports/experiments/exp8_sdxl/images/alpha_0.5/p05_texture_seed1337.png
0.5,p06_arch,42,17.279,0.316548,0.265137,0.86185,0.550298,reports/experiments/exp8_sdxl/images/alpha_0.5/p06_arch_seed42.png
0.5,p06_arch,123,17.299,0.32729,0.214355,0.372584,0.631246,reports/experiments/exp8_sdxl/images/alpha_0.5/p06_arch_seed123.png
0.5,p06_arch,456,17.315,0.347749,0.228882,0.927763,0.517419,reports/experiments/exp8_sdxl/images/alpha_0.5/p06_arch_seed456.png
0.5,p06_arch,789,17.286,0.317808,0.251221,0.348105,0.548494,reports/experiments/exp8_sdxl/images/alpha_0.5/p06_arch_seed789.png
0.5,p06_arch,1337,17.333,0.3409,0.257812,0.691779,0.678701,reports/experiments/exp8_sdxl/images/alpha_0.5/p06_arch_seed1337.png
0.5,p07_hands,42,17.213,0.277941,0.231079,0.358052,0.52838,reports/experiments/exp8_sdxl/images/alpha_0.5/p07_hands_seed42.png
0.5,p07_hands,123,17.307,0.31791,0.220093,1.713952,0.568038,reports/experiments/exp8_sdxl/images/alpha_0.5/p07_hands_seed123.png
0.5,p07_hands,456,17.318,0.301073,0.227783,0.333122,0.603566,reports/experiments/exp8_sdxl/images/alpha_0.5/p07_hands_seed456.png
0.5,p07_hands,789,17.302,0.312165,0.216919,0.683529,0.605448,reports/experiments/exp8_sdxl/images/alpha_0.5/p07_hands_seed789.png
0.5,p07_hands,1337,17.301,0.317195,0.22937,1.059022,0.611407,reports/experiments/exp8_sdxl/images/alpha_0.5/p07_hands_seed1337.png
