scheduler,steps,mean_clip,se_clip,n_prompts
DDIM,30,0.31591,0.006749246616108902,30
DPM,30,0.3199033333333333,0.005916947184543253,30
EulerA,30,0.3120733333333333,0.005176822647175245,30
LMS,30,0.3086466666666667,0.00762595648168388,30
